headline,text,answer_summary
"Сколько стоят доллар, евро и юань 7, 8 и 9 февраля?","К выходным курсы доллара США, евро и юаня вновь выросли. Накануне все мировые валюты, напомним, подешевели. Так, доллар к концу недели подорожал на 50 копеек, евро — на 76 копеек, юань — на 12 копеек. В субботу, воскресенье и понедельник доллар США можно купить за 77,05 рубля, в последний рабочий день он стоил 76,55 рубля. Евро с 90,29 рубля подорожал до 91,05 рубля. Юань стоил 10,99 рубля, теперь — 11,11 рубля. Ранее эксперты специально для aif.ru сделали прогноз, какое решение по ключевой ставке в следующую пятницу примет ЦБ. Пик Золотой. Эксперт Силаев: сегодня дорожает только рубль","Доллар 76,55 рубля. Евро 91,05 рубля. Юань 11,11 рубля"
Как получить налоговый вычет за ГТО?,"Сдача ГТО — это не просто спортивное достижение, но и законный способ немного сэкономить. При выполнении нормативов комплекса «Готов к труду и обороне» можно получить налоговый вычет. Как получить налоговый вычет за ГТО — читайте в справке aif.ru. На этот вопрос aif.ru ответила юрист, налоговый консультант Ирина Лукьянова: — Право на этот стандартный вычет, действующее с 2025 года, имеют официально работающие граждане, чьи доходы облагаются НДФЛ. Главное условие — в течение календарного года нужно не просто сдать нормативы комплекса «Готов к труду и обороне», но и получить или подтвердить знак отличия, а также пройти профилактический медицинский осмотр, то есть диспансеризацию. При этом уровень знака — золотой, серебряный или бронзовый — значения не имеет. Максимальная сумма расходов, на которую можно уменьшить налогооблагаемый доход, составляет 18 тысяч рублей в год. Но это не прямая выплата — государство возвращает вам часть налога, уплаченного с этой суммы. Размер возврата зависит от вашей налоговой ставки. Так, при стандартной ставке в 13 процентов вернется 2 340 рублей. Если ваш доход выше, и вы попадаете под повышенные ставки НДФЛ (15, 18, 20 или 22 процента), то и сумма компенсации будет больше — до 3 960 рублей, уточнила эксперт. Платить «по упрощёнке». Грядёт ужесточение налогового законодательства Подробнее Как пояснила Ирина Лукьянова, оформить вычет можно тремя способами. Первый — через работодателя в течение того же года, когда вы получили знак ГТО. Для этого нужно подать в бухгалтерию или отдел кадров заявление в свободной форме, приложив копию документа, подтверждающего ваше достижение. Это может быть удостоверение к знаку ГТО, выписка из приказа Минспорта или акта регионального органа. Второй обязательный документ — справка о прохождении диспансеризации из медицинской организации. После этого работодатель начнет начислять вам зарплату без удержания НДФЛ до тех пор, пока не исчерпается вся сумма вычета. Второй способ — обратиться напрямую в налоговую инспекцию по итогам прошедшего года. В этом случае нужно заполнить декларацию по форме 3-НДФЛ, приложив к ней сканы тех же подтверждающих документов, а также справку о доходах по форме 2-НДФЛ от работодателя. Подать все это вместе с заявлением на возврат налога можно через личный кабинет налогоплательщика на сайте ФНС или при личном визите в отделение. Деньги в этом случае будут перечислены вам на банковский счет в течение нескольких месяцев после проверки документов. Есть еще третий способ, доступный только тем, если данные о сдаче ГТО поступят от госорганов. В этом случае действует упрощенный порядок: нужно подтвердить уже заполненное заявление в личном кабинете на сайте ФНС или портале «Госуслуги». Что за семейная налоговая выплата вводится с 2026 года? Подробнее Всероссийский физкультурно-спортивный комплекс предусматривает нормативы для 11 возрастных ступеней (от 6 до 70 лет и старше), в каждой — три уровня сложности, соответствующие золотому, серебряному и бронзовому знакам отличия (по аналогии с медалями в большом спорте). Тесты, позволяющие определить уровень развития физических качеств и прикладных двигательных умений и навыков, подразделяются на обязательные испытания и испытания по выбору. Современный значок ГТО изготавливается из железа с покрытием, имитирующим золото, серебро или бронзу. Ранее aif.ru сравнивал современные российские нормы ГТО с действовавшими в СССР.","Первый — через работодателя в течение того же года, когда вы получили знак ГТО. Второй способ — обратиться напрямую в налоговую инспекцию по итогам прошедшего года."
"Сколько стоят доллар, евро и юань в пятницу, 6 февраля?","К пятнице курс доллара США продолжил снижаться. Евро также подешевел почти на рубль. К 6 февраля одна единица американской валюты подешевела на 36 копеек, евро потерял 82 копейки. Курс юаня снизился на 6 копеек. Вчера один доллар можно было купить за 76,91 рубля, сегодня он стоит 76,55 рубля. Евро с 91,11 рубля упал до 90,29 рубля. Юань стоил 11,05 рубля, 6-го числа он стоит 10,99 рубля. Сегодня на курс национальной валюты давят две серьезные силы, рассказал aif.ru эксперт. С одной стороны, на него влияют переговоры между Россией, США и Украиной, с другой — инфляция. Валюта и тренды. Эксперт Силаев спрогнозировал курс доллара к концу года","Доллар 76,55 рубля. Евро 90,29 рубля. Юань 10,99 рубля"
"Очень ослаб, сильно похудел и ничего не ел: какими были последние дни Джеймса Ван Дер Бика из сериала «Бухта Доусона»","«Почему мы празднуем Новый год в разгар зимы? Время праздновать новое начало, новую себя и новые обещания — это весна», — писал еще совсем недавно в личном блоге в Instagram Джеймс. Казалось, что артист полон надежд и планов на будущее. К сожалению, дожить до конца зимы звезде сериала «Бухта Доусона» не удалось. Актер умер после двухлетней борьбы с раком толстой кишки. После первых печальных новостей о кончине Ван Дер Бика на связь с журналистами вышел инсайдер, который рассказал об ужасных последних днях американской звезды. Оказалось, что незадолго до смерти мужчина попал в хоспис. Надежды на спасение знаменитости уже не оставалось. «Джеймс несколько недель находился в хосписе и был очень худым, когда скончался. Он большую часть времени лежал в постели, потому что был очень слаб и ничего не ел», — рассказал источник. Все это время семья находилась рядом с Ван Дер Биком. Остается только догадываться, какой кошмар пережили родные звезды сериала «Бухта Доусона». Как утверждает хорошо знакомый с ситуацией человек, смотреть на угасающего Джеймса было очень сложно. «Он был в хосписе, они держали его за руку и, конечно, были рядом, но было тяжело, потому что Джеймс был так болен, он был слаб. У него было столько харизмы, он был замечательным человеком, и нам очень не хватает его присутствия. Бедные маленькие дети», — заключил инсайдер. У Джеймса Ван Дер Бика и его жены Кимберли подрастает шестеро наследников: 15‑летняя Оливия, 13‑летний Джошуа, 12‑летняя Аннабель, девятилетняя Эмилия, семилетняя Гвендолин и четырехлетняя Джеремия. Сейчас друзья и неравнодушные люди жертвуют вдове актера деньги, так как семья Ван Дер Биков испытывает финансовые трудности. «Содержать большую семью обходится очень дорого. Поэтому счета просто заоблачные. От ипотеки и платежей за машину до всех расходов на еду и медицинскую страховку — это огромная нагрузка. А потом еще и медицинские счета. Это совсем не весело», — делился проблемами звездной семьи еще один инсайдер.",Умер в хосписе от рака в окружении семьи
«Не ожидается теплого марта»: когда наступит весна в 2026 году в Москве,"К середине февраля многие синоптики удивили внезапными прогнозами. Сначала появились сообщения о неожиданной плюсовой температуре. Так, в грядущие выходные отметки термометров могут подняться до +3 градусов тепла. Но перед этим жителям Москвы придется столкнуться с непогодой: в столицу придут снегопады и ледяные дожди. Все эти новости появились уже после того, как в Сети распространились сообщения от экспертов о ранней весне в 2026 году. Многие рассчитывали, что это означает приход тепла в столичный регион уже в конце февраля или в начале марта. Однако, судя по свежим заявлениям специалистов, убирать теплую одежду пока рано. О начале метеорологической весны рассказал ведущий специалист центра погоды «Фобос» Михаил Леус. Он допустил, что устойчивый переход среднесуточной температуры через 0 градусов случится позднее начала климатической весны. «Когда метеорологическая весна начнется в нынешнем, 2026 году? Предварительный долгосрочный прогноз на март, который еще не раз будет уточняться: не ожидается теплого марта, скорее всего, он будет близким к норме. На это накладывается большой запас снега в столице — на сегодняшний день его высота на треть превышает норму. Учитывая эти два фактора, можно предположить, что метеорологическая весна в 2026 году придет в Москву чуть позднее нормы — не 21 марта, а в третьей декаде первого весеннего месяца», — сообщил Михаил в своем Telegram‑канале. Между тем Леус напоминает о том, что сейчас столица остается под влиянием теплого атмосферного фронта. «В такой ситуации небо продолжат закрывать плотные облака, пройдет снег, местами переходящий в мокрый снег. На дорогах и тротуарах скользко», — рассказал синоптик в блоге, добавив, что с 12 по 13 февраля может выпасть до 15–20 % от месячной нормы февраля.",В третьей декаде первого весеннего месяца
Живая театральная традиция в действии: учебная студия Театра «МОСТ» объявила набор,"Учебная студия открывает дополнительные места для молодежи со студенческим билетом в возрасте от 17 до 25 лет. Сначала соискателей ждёт собеседование, затем 19 февраля состоится первый тур, а 20 февраля — второй. Тех, кто успешно преодолеет все испытания, будут ждать на стартовом занятии 22 февраля. Занятия проводят лично Евгений Славутин и ведущий актер театра Евгений Панфёров. Уже более двадцати лет здесь применяется авторская методика мастера: интенсивный творческий практикум, который всего за три-четыре месяца готовит артиста к выходу на сцену. Студийцы не сидят над скучными конспектами — после серии тренингов они сразу создают собственные этюды-наблюдения, а итогом обучения становится публичный показ лучших работ. Практически все, кто сейчас составляет гордость труппы, когда-то сами пришли сюда на прослушивание, прошли студию и остались в театре. Помимо актерского мастерства, студенты московских вузов могут бесплатно посещать занятия по хореографии: растягивать мышцы, осваивать сценическое движение и разучивать номера из репертуара театра. Это шанс не просто научиться играть, но и понять изнутри, чем живёт профессиональный творческий коллектив. Именно с таких прослушиваний начинаются большие роли в Театре «МОСТ». Все подробности о конкурсном отборе уже опубликованы на официальном сайте театра. В начале этого рода ученики этой студии, а также студенты ведущих театральных школ Москвы широко отметили новую традицию «Рождение Московского театра».",Открываются места для людей от 17 до 25 лет
"Впервые ставший отцом Кирилл Туриченко из «Иванушек»: «Да, я присутствовал на родах»","Здоровый малыш весом 3600 граммов появился на свет в подмосковном перинатальном центре. Кирилл Туриченко и его возлюбленная выбрали партнерские роды, о чем вокалист «Иванушек» не жалеет ни капли. По словам новоиспеченного отца, все было решено задолго до похода в роддом. Музыкант прекрасно понимал, как его поддержка важна для жены. Произошедшее Туриченко теперь называет не иначе как «большим чудом». «Если вы посмотрите, за это время у меня вышло много сольных авторских песен. Например, трек «Дай мне любовь» я как раз написал после того, как Даша сообщила мне радостную новость. У меня как будто бы открылось второе дыхание, сейчас я как никогда хочу жить и творить, чтобы сын, когда вырастет, мной гордился… Да, я был на родах, присутствовал, мы запланировали это давно, и, честно, я рад, что принял такое решение. Описать словами эмоции от первой встречи с малышом просто невозможно», - признался певец в свежем интервью. При этом Туриченко не считает свой опыт примером для всех. По его мнению, каждая пара, которая готовится к появлению на свет маленького чуда, должна принимать решение, основываясь исключительно на собственных предпочтениях. Музыкант также признался, что они с супругой все еще находятся в поисках имени для новорожденного сына. Но даже определившись с этим важным моментом, Кирилл и Дарья на время предпочтут сохранить это в тайне от всех. Напомним, что солист группы «Иванушки International» женился три год назад. Год спустя пара устроила веселую свадьбу, где присутствовали только родственники и близкие друзья молодоженов. До встречи с Дарьей вокалист даже не задумывался о браке, так что жена, без преувеличения, стала для него главной музой жизни.","Туриченко рад, что присутствовал на родах"
GEO-продвижение в нейросетях: как брендам попадать в ответы ИИ и генеративный поиск,"Если раньше пользователь вводил запрос и выбирал один из сайтов в выдаче, то сегодня всё чаще он просто задаёт вопрос нейросети — и получает готовый ответ. Без ссылок. Без переходов. Без привычного поиска. Для бизнеса это означает одно: борьба за позиции в поиске перестаёт быть главным фактором видимости. Почему нейросети больше не «ищут сайты» Нейросети работают иначе, чем поисковые системы. Их задача — не показать список сайтов, а сформировать связный и понятный ответ. Для этого они используют: накопленные знания, повторяющиеся источники, устойчивые формулировки, бренды и экспертов, которым можно доверять. Именно поэтому сайт может быть в топе поисковой выдачи, но вообще не появляться в ответах ИИ. Что такое GEO-продвижение В ответ на эти изменения появился новый подход — GEO (Generative Engine Optimization). Проще говоря, GEO-продвижение — это работа над тем, чтобы бренд: упоминался в ответах нейросетей, использовался как источник информации, ассоциировался с конкретной экспертизой. Если SEO отвечает на вопрос «На каком месте сайт?», то GEO отвечает на другой: «Кого нейросеть будет цитировать, когда пользователь задаёт вопрос?» Почему одного SEO уже недостаточно Классическое SEO по-прежнему важно, но оно работает в старой логике: оптимизация страниц, позиции, клики. Генеративный поиск эту логику ломает. Нейросети: не оценивают CTR, не используют продающие тексты, не ориентируются на дизайн сайта. Они агрегируют знания и выдают результат сразу. В итоге бизнес может потерять влияние на решение пользователя, даже сохранив позиции. Как нейросети выбирают, кого использовать в ответе Современные ИИ работают по модели, при которой: анализируется вопрос пользователя, извлекаются релевантные источники, оцениваются экспертность и согласованность информации, формируется ответ без необходимости перехода на сайт. Важно: нейросети доверяют не страницам, а сущностям — брендам, компаниям, экспертам. Что влияет на GEO-видимость бренда Чтобы бренд появлялся в ответах ИИ, важны: экспертный контент, который объясняет, а не продаёт; устойчивые упоминания в тематическом контексте; понятная связь «бренд → тема → экспертиза»; репутационное присутствие на разных площадках; структурированные тексты, удобные для цитирования. Одиночный сайт, даже хорошо оптимизированный, здесь не работает. GEO-продвижение как системная работа GEO — это не «настройка под ChatGPT» и не разовая акция. Это последовательный процесс, который включает: анализ того, как нейросети уже отвечают на вопросы в нише; оценку конкурентного поля в генеративном поиске; формирование экспертного контента; работу с упоминаниями и репутацией; постоянный мониторинг изменений. Именно так GEO-подход реализуется, например, в агентстве Rating Up, которое специализируется на управлении репутацией и видимостью брендов в цифровой среде, включая генеративный поиск. Что это значит для бизнеса Для компаний меняется сама точка конкуренции: раньше боролись за клики, теперь борются за присутствие в ответе. Это особенно важно для: B2B-бизнеса, IT и технологических компаний, консалтинга и услуг, рынков, где доверие играет решающую роль. Если бренд не участвует в объяснении, которое даёт нейросеть, он часто выпадает из процесса принятия решения. Вывод Поиск перестаёт быть списком сайтов и становится средой формирования мнений. В этой среде выигрывают не те, кто выше в выдаче, а те, кого нейросети считают источником знаний. GEO-продвижение — это не модный термин, а адаптация бизнеса к новой реальности, в которой ответы формируются ИИ, а доверие становится главной валютой цифровой видимости. Василий Черный",ИИ ищет присутствие компании в сети для включения в ответ
«Удачи и терпения!»: Богомолов отказался от должности и. о. ректора Школы-студии МХАТ,"Не так давно возглавивший Школу-студию МХАТ Константин Богомолов добровольно решил уйти с престижного поста. Режиссер попросил министра культуры Российской Федерации Ольгу Любимову освободить его от обязанностей и. о. ректора. «Дорогие друзья, я попросил министра культуры освободить меня от исполнения обязанностей ректора Школы-студии. От сердца желаю Школе и ее нынешнему и будущему руководству удачи и терпения», — написал Константин Юрьевич в личном микроблоге. Константин Богомолов, напомним, был назначен исполняющим обязанности ректора Школы‑студии МХАТ 23 января 2026 года - вскоре после смерти предыдущего руководителя, Игоря Золотовицкого. Это решение вызвало бурную реакцию: выпускники и педагоги театральной школы направили открытое письмо министру культуры, указывая на нарушение традиций преемственности, поскольку Богомолов не является выпускником школы. Они подчеркнули, что предыдущие ректоры – от Ефремова до Золотовицкого – были корнями связаны с МХАТом, и выбор внешнего кандидата ставит под угрозу духовное единство и семейную модель учебного заведения. При этом супруга руководителя Первого канала Софья Эрнст, также выпускница школы, заявила, что Константин Богомолов впитывал традиции не в аудиториях, а на сцене и на репетициях, а его опыт работы с Олегом Табаковым и МХТ показывает глубокое понимание мхатовской школы. Поддержали режиссера «Содержанок» также Сергей Безруков, Ирина Апексимова, Ксения Собчак и другие, назвавшие критику «бурей в стакане воды».",Богомолов отказался от должности и. о. ректора Школы-студии МХАТ
О чем сожалеет взрослая дочь исполнителя хита «Плачет девочка в автомате» Евгения Осина,"Евгений Осин – один из самых ярких представителей российского шоу-бизнеса начала 1990-х. Его песни, такие как «Плачет девочка в автомате», «Таня+Володя», «Не верю» и «Не ходи со мною рядом», стали настоящими хитами и принесли ему всенародную любовь. Певцу симпатизировал даже Борис Ельцин, который неоднократно приглашал Осина на концерты своей предвыборной кампании и однажды пустился с ним в пляс на сцене. Но за оглушительным успехом артиста скрывалась жуткая тьма: Осин страдал от алкогольной зависимости. В юности он оказался в плохой компании, а когда началась его взрослая жизнь, то у музыканта уже вошло в привычку выходить на сцену с рюмкой. Это выводило из себя его коллег и постепенно разрушало профессиональные и дружеские отношения. Все изменилось, когда вокалист сблизился со своей давней знакомой Натальей Черемисиной. Девушка подарила любимому главный стимул в жизни – единственную дочь Агнию. Восемь лет Осин был трезв словно стеклышко, но в какой-то момент снова поддался соблазну. Артиста сильно подкосила смерть близкого друга и забвение. Когда вокалист снова стал прикладываться к бутылке, то жена, на которую он не раз поднимал руку, решила закончить эти отношения. Евгений Осин до последнего пытался сохранить связь с дочерью: устроился учителем музыки в ее школу, организовал детский ансамбль и взял Агнию в качестве солистки. Но об этом узнала бывшая супруга, она решила изолировать ребенка от родного отца. Это стало тяжелым ударом для певца – он вновь ушел в запой. В 2010-х Осин пытался найти спасение в вере, посещал монастыри и даже лечился в клинике в Таиланде, но все тщетно. Когда его не стало, Агния, которая и сама успела стать мамой, сумела не только простить родителя, но и горько сожалела о том, что ее не было рядом с ним в самый тяжелый момент. «Я уже не раз говорила о том, что папина музыка, на мой взгляд, оставила огромный след в истории российской музыки 80-х годов. Дворовая романтика, песни, пропитанные простотой и невероятной искренностью. Я бы сказала, что они максимально «настоящие». И, конечно, мы с Ксюшей слушаем его песни, смотрим выступления. Дочь прекрасно знает о том, кем был ее дедушка Женя. Так что, это часть и семейной истории, и, безусловно, культурного наследия», - говорила дочь артиста в одном из интервью.","Сожалела о том, что ее не было рядом с ним в самый тяжелый момент для него"
Топ-5 лучших книжных подарков,"Луиза Мэй Олкотт, «Маленькие женщины. Введение и комментарии Джона Маттесона», АСТ Neoclassic Классика мировой литературы в подарочном оформлении с подробными комментариями Джона Маттесона, биографа Луизы Мэй Олкотт. Исследователь решил помочь читателю глубже понять любимый роман и больше узнать о жизни его создательницы. «Маленькие женщины» – одна из самых популярных книг в истории литературы. Роман, впервые опубликованный в 1868 году, переведен более чем на 50 языков и стал основой для множества фильмов, телесериалов, опер и спектаклей. «Маленькие женщины» — история взросления четырех сестер. Пройдя через испытания, мечты и любовь, девочки постепенно превращаются в сильных, самостоятельных женщин. Каждая из них находит свой путь в жизни. В это издание также вошел роман «Хорошие жены» — продолжение «Маленьких женщин». Книга дополнена классическими иллюстрациями Фрэнка Тэйлора Мэррилла, Элис Барбер Стивенс и Джесси Уилкокс Смит. Коттэри, «Вуаль. Том 1», АСТ: Бумажный фонарик «Вуаль» японской художницы Коттэри — это атмосферная романтическая манга, которая больше похожа на поэтичное кино в формате графического романа. Это история об офицере полиции и сбежавшей наследнице. Автор не дает им имена, но описывает тонкие и хрупкие чувства, родившиеся между героями через совместное наслаждение ароматом чая, задумчивые взгляды, прогулки по городу и свидания в уютных кафе. Особый авторский стиль пронизывает каждую деталь — от легких диалогов до изысканных нарядов героев и атмосферы винтажной элегантности. Если бы модный журнал стал мангой — он был бы именно таким: нежным, утонченным и невероятно стильным, как «Вуаль» Коттэри. Инна Сапегина, «Кондитерское искусство: от новичка до мастера», АСТ нонфикшн:Времена Автор книги «Кондитерское искусство: от новичка до мастера» Инна Сапегина — призер Международного кондитерского чемпионата в Беларуси, многократный победитель Чемпионата России по кондитерскому искусству, финалистка первого сезона программы «Король десертов» на телеканале «Пятница». Эта книга может стать настольной для того, кто намерен постигать кулинарное мастерство. Автор пошагово проводит читателя по пути к вершинам — от самых простых рецептов до сложных десертов. Большое внимание уделяется способам декорирования сладких шедевров. Читатели научатся работать с разными видами крема; узнают все о конструкции многоярусных тортов, темперировании и других тонкостях кондитерского искусства Аллегра Гудман, «Изола», Азбука «Изола» Аллегры Гудман — первая книга автора, переведенная на русский язык. Это исторический роман, основанный на реальных событиях. Он рассказывает об удивительных приключениях Маргариты де ля Рок — отважной девушки, сумевшей преодолеть злую судьбу. Главная героиня живет в роскоши, пока в ее жизни не появляется опекун — вспыльчивый и циничный Жан-Франсуа де Роберваль. Растратив ее состояние, он берет девушку с собой в экспедицию к берегам Канады, мечтая основать Новую Францию. По пути Маргариту и ее возлюбленного обвиняют в предательстве и бросают на заброшенном скалистом острове, отмеченном на карте как Izola. Бывшая аристократка, некогда купавшаяся в роскоши, теперь должна выживать среди суровой северной природы. Эта красиво оформленная книга станет достойным подарком для любителей историй выживания и приключений. «”Дон Кихот” Сервантеса с иллюстрациями Анатолия Зверева», КоЛибри Классическая история Рыцаря Печального Образа, выразительные иллюстрации Анатолия Зверева и комментарии ведущих отечественных специалистов по Сервантесу и Звереву делают издание поистине выдающимся. Роман издается в сокращении: в него включены только сюжетообразующие фрагменты приключений Дона Кихота. Лучше понять историю создания романа, его главного героя, а также жизнь автора помогут статьи филолога, члена Испанской академии Светланы Пискуновой. А филолог и искусствовед Александра Баженова-Сорокина расскажет о ранних иллюстрациях романа и работах художника Анатолия Зверева. Его картины, сопровождают избранные главы и эпизоды из романа Сервантеса — это не столько иллюстрации в традиционном смысле слова, сколько размышления о сущности героя и приглашение к диалогу.","Луиза Мэй Олкотт — «Маленькие женщины», Коттэри — «Вуаль. Том 1», Инна Сапегина — «Кондитерское искусство: от новичка до мастера», Аллегра Гудман — «Изола», Мигель де Сервантес — «Дон Кихот»"
Впервые ставший отцом Кирилл Туриченко из «Иванушек» показал фото из роддома,"Солист «Иванушек» Кирилл Туриченко опубликовал серию трогательных кадров из родильной палаты. У вокалиста родился ребенок, имя которого пара пока не раскрывает. На снимках видно, что молодого отца, который лично присутствовал на родах, переполняют эмоции. Известно, что первенец четы появился на свет здоровеньким. Вес ребенка - 3600 граммов, а рост - 53 сантиметра. «Я тебя никогда никому не отдам», - подписал публикацию артист. Известный вокалист, напомним, долго не решался остепениться, прослыв неисправимым холостяком. Все изменилось несколько лет назад, когда брюнет встретил свою будущую супругу Дарью. В 2023 году влюбленные зарегистрировала отношения, а год спустя Кирилл Туриченко и Дарья устроили закрытую свадьбу в подмосковной деревне Лапино. Среди почетных гостей были Андрей Григорьев-Апполонов и Кирилл Андреев, певица Алсу и продюсер Игорь Матвиенко. Николай Басков, имеющий опыт проведения более двух тысяч свадеб, подарил молодоженам букет и исполнил песню. Филипп Киркоров и Михаил Шуфутинский прислали видеопоздравления, так как не смогли присутствовать на торжестве лично. Так, Григорьев-Апполонов преподнес молодоженам дизайнерское постельное белье, а Кирилл Андреев – нетленные хиты культового поп-коллектива «Тучи» и «Тополиный пух». Первый кусок свадебного торта с малиной ушел с молотка за невероятную сумму – 10 миллионов рублей. В тот день растроганный Кирилл Туриченко не смог сдержать эмоций и расплакался от счастья, поблагодарив друзей и родных за незабываемый вечер. Вместе с женой Дарьей артист подготовил для гостей памятные подарки: косметические наборы, домашние тапочки, водку и контрацептивы – неожиданные, но весьма запоминающиеся сувениры.",Впервые ставший отцом Кирилл Туриченко из «Иванушек» показал фото из роддома
